iter	Passed	Remaining
0	133	133179
1	134	66989
2	135	44908
3	135	33850
4	136	27228
5	137	22810
6	138	19656
7	139	17287
8	140	15454
9	141	13983
10	142	12779
11	143	11777
12	143	10927
13	144	10195
14	145	9565
15	146	9012
16	147	8524
17	148	8088
18	149	7700
19	149	7347
20	150	7028
21	151	6746
22	152	6484
23	153	6243
24	154	6021
25	155	5816
26	156	5623
27	157	5464
28	158	5297
29	159	5145
30	160	5011
31	161	4878
32	162	4751
33	163	4634
34	163	4519
35	164	4414
36	165	4313
37	166	4218
38	167	4129
39	168	4042
40	169	3958
41	170	3882
42	171	3807
43	172	3739
44	172	3669
45	173	3604
46	174	3542
47	175	3484
48	176	3426
49	177	3371
50	178	3316
51	179	3265
52	179	3214
53	180	3167
54	181	3121
55	182	3076
56	183	3034
57	184	2992
58	185	2952
59	185	2913
60	186	2876
61	187	2842
62	188	2809
63	189	2778
64	190	2744
65	191	2713
66	192	2681
67	193	2650
68	194	2622
69	195	2593
70	196	2566
71	196	2538
72	197	2513
73	198	2487
74	199	2463
75	200	2438
76	201	2413
77	202	2391
78	203	2368
79	203	2345
80	204	2325
81	205	2303
82	206	2278
83	207	2258
84	207	2238
85	208	2219
86	209	2202
87	210	2183
88	211	2165
89	212	2148
90	213	2131
91	214	2113
92	215	2098
93	215	2081
94	216	2065
95	217	2051
96	218	2035
97	219	2020
98	220	2005
99	221	1991
100	222	1976
101	223	1964
102	224	1950
103	224	1937
104	225	1925
105	226	1911
106	227	1899
107	228	1887
108	229	1874
109	230	1862
110	231	1851
111	232	1840
112	233	1829
113	233	1817
114	234	1806
115	235	1795
116	236	1783
117	237	1773
118	238	1763
119	239	1753
120	240	1743
121	240	1733
122	241	1722
123	242	1712
124	243	1703
125	244	1693
126	245	1684
127	246	1677
128	247	1669
129	248	1660
130	249	1653
131	250	1644
132	250	1635
133	251	1626
134	252	1618
135	253	1609
136	254	1601
137	255	1593
138	256	1585
139	257	1578
140	257	1571
141	258	1561
142	259	1555
143	260	1547
144	261	1541
145	262	1535
146	263	1528
147	264	1522
148	265	1515
149	266	1509
150	267	1503
151	268	1497
152	269	1491
153	270	1487
154	271	1481
155	272	1475
156	273	1469
157	274	1462
158	275	1458
159	277	1454
160	277	1448
161	278	1442
162	279	1437
163	281	1432
164	281	1426
165	283	1421
166	283	1416
167	284	1410
168	285	1405
169	286	1399
170	287	1394
171	288	1389
172	289	1386
173	291	1383
174	292	1379
175	293	1375
176	294	1370
177	295	1366
178	296	1361
179	297	1355
180	298	1351
181	299	1347
182	300	1342
183	302	1339
184	303	1335
185	304	1330
186	305	1327
187	306	1323
188	307	1319
189	308	1314
190	309	1309
191	310	1305
192	311	1301
193	312	1296
194	312	1291
195	313	1287
196	314	1282
197	315	1278
198	316	1274
199	317	1270
200	318	1266
201	319	1263
202	320	1259
203	321	1255
204	322	1251
205	323	1247
206	324	1243
207	325	1239
208	326	1234
209	327	1230
210	328	1226
211	329	1223
212	330	1220
213	331	1216
214	332	1212
215	333	1208
216	333	1205
217	334	1201
218	335	1197
219	336	1193
220	337	1190
221	338	1186
222	339	1182
223	340	1178
224	341	1175
225	342	1171
226	342	1167
227	343	1164
228	344	1160
229	345	1157
230	346	1154
231	347	1150
232	348	1148
233	349	1145
234	350	1141
235	351	1138
236	352	1135
237	354	1133
238	354	1130
239	355	1126
240	356	1123
241	357	1120
242	358	1117
243	359	1114
244	360	1111
245	361	1108
246	362	1105
247	363	1102
248	364	1099
249	365	1096
250	366	1092
251	367	1089
252	368	1086
253	368	1083
254	369	1080
255	370	1077
256	371	1074
257	372	1071
258	373	1067
259	374	1064
260	374	1061
261	375	1058
262	376	1056
263	377	1053
264	379	1051
265	380	1048
266	380	1045
267	381	1042
268	382	1039
269	383	1036
270	384	1033
271	385	1030
272	385	1027
273	387	1025
274	387	1022
275	388	1019
276	389	1017
277	390	1014
278	391	1012
279	392	1009
280	393	1007
281	394	1004
282	395	1001
283	396	999
284	397	996
285	397	993
286	398	990
287	399	988
288	400	985
289	401	983
290	402	980
291	403	978
292	404	975
293	405	973
294	406	970
295	407	968
296	408	966
297	409	964
298	410	962
299	411	960
300	412	958
301	413	955
302	414	953
303	415	950
304	415	947
305	416	945
306	417	943
307	418	940
308	419	938
309	420	936
310	421	934
311	422	932
312	423	930
313	424	928
314	426	927
315	427	924
316	428	922
317	428	920
318	429	917
319	430	915
320	431	913
321	432	911
322	433	909
323	434	907
324	436	906
325	437	904
326	438	902
327	439	900
328	440	898
329	441	896
330	442	894
331	443	891
332	444	889
333	445	887
334	446	885
335	447	884
336	448	881
337	449	880
338	450	878
